Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
2022551,6,2021,Illinois,Joliet,201 S Eastern Ave,1,0,N/A
2022188,6,2021,Texas,Lumberton (Rose Hill Acres),4940 US 69,1,0,N/A
2021159,5,2021,Kentucky,Radcliff,N/A,1,0,N/A
2022433,5,2021,Pennsylvania,Coatesville,300 block of Community Ln,1,0,N/A
2019036,5,2021,Georgia,Jackson,School St,1,1,N/A
2019508,5,2021,Maryland,Fort Washington,10100 block of Old Fort Rd,1,0,N/A
2018559,5,2021,Iowa,Waterloo,1433 Byron Ave,1,0,N/A
2015797,5,2021,Arizona,Mesa,1120 S Sycamore Rd,1,0,N/A
2023336,5,2021,West Virginia,Kearneysville,3354 Charles Town Rd,1,0,N/A
2014514,5,2021,Texas,Austin,9705 Reservoir Ct,1,0,N/A
2018311,5,2021,Texas,Waller,1600 block of Bowler Rd,1,1,N/A
2011610,5,2021,Indiana,Fort Wayne,2177 Eden St,1,4,N/A
2014683,5,2021,Mississippi,Waynesboro,White Oak St,1,0,N/A
2011139,5,2021,Texas,Fort Worth,1513 E Presidio St,2,0,N/A
2011077,5,2021,New York,Albany,1st St and Quail St,1,5,N/A
2009582,5,2021,Indiana,Indianapolis,3400 block of N Leland Ave,1,0,N/A
2009451,5,2021,Illinois,Chicago,1700 block of E 71st St,2,0,N/A
2010015,5,2021,Maryland,Laurel,3400 block of Laurel Fort Meade Rd,1,0,N/A
2008789,5,2021,Michigan,Detroit,1555 Outer Dr E,1,2,N/A
2008034,5,2021,Texas,Houston,17100 block of Hilton Hollow Dr,1,0,N/A
2009257,5,2021,Ohio,Galion,N/A,1,0,N/A
2007416,5,2021,Minnesota,Minneapolis,N 35th Ave and Penn Ave N,1,1,N/A
2006594,5,2021,Alabama,Maylene,308 Goldilocks Ln,1,0,N/A
2011809,5,2021,Florida,Brooker,1307 NW 223rd Ln,1,0,N/A
2006294,5,2021,Arizona,Tempe,S Rural Rd and E Baseline Rd,1,0,N/A
2006304,5,2021,Michigan,Edwardsburg,69000 block of Maple St,1,0,N/A
2005169,5,2021,Pennsylvania,Archbald,600 Block of Salem Rd,1,1,N/A
2005217,5,2021,Minnesota,Minneapolis,2200 block of Ilion Ave N,1,0,N/A
2004922,5,2021,Ohio,Columbus,2300 block of Sunbury Rd,1,0,N/A
2003588,5,2021,Missouri,Union,700 block of Star Circle,2,0,N/A
1999805,5,2021,Illinois,Hazel Crest,17600 block of Arlington Ln,1,0,N/A
1999088,5,2021,Wisconsin,Milwaukee,3100 block of W Michigan St,1,0,N/A
1997489,5,2021,Florida,Pensacola,4101 W Navy Blvd,1,0,N/A
1998108,5,2021,Florida,Clewiston,940 W Sugarland Hwy,1,1,N/A
1996148,5,2021,Pennsylvania,East Stroudsburg,2000 block of Vista Cir,1,0,N/A
1994331,5,2021,Illinois,East Saint Louis (Cahokia),1300 block of Saint Stephens Dr,1,0,N/A
1994086,5,2021,California,Keyes,Martha Ave and 7th St,1,0,N/A
1993916,5,2021,Texas,Houston,10010 Antoine Dr,1,0,N/A
1993824,5,2021,West Virginia,Beckley,500 block of Terrill St,1,0,N/A
1996618,5,2021,Kansas,Wichita,800 block of S Terrace Dr,1,0,N/A
1991688,4,2021,Alabama,Hazel Green,Butter and Egg Rd,1,0,N/A
1988688,4,2021,Virginia,Richmond,4000 Midlothian Turnpike,2,3,N/A
1987755,4,2021,Texas,Grand Prairie,2300 block of May Ln,1,0,N/A
1989036,4,2021,Alaska,Nightmute,N/A,1,0,N/A
1989066,4,2021,Tennessee,Memphis,5001 Airways Blvd,1,0,N/A
1987653,4,2021,Texas,Dallas,4300 block of Duncanville Rd,1,0,N/A
1986575,4,2021,Arizona,Phoenix,4270 W Thomas Rd,1,0,N/A
1987006,4,2021,Florida,Fort Myers,3513 Fowler St,1,1,N/A
1987107,4,2021,Washington,Federal Way,27900 block of Pacific Hwy S,1,0,N/A
1986906,4,2021,North Dakota,Cando,N/A,1,0,N/A
1985267,4,2021,Missouri,Kansas City,2900 block of Lockridge Ave,1,0,N/A
1984099,4,2021,Arizona,Phoenix,19th Ave and Peoria Ave,1,1,N/A
1983532,4,2021,Texas,Houston,12800 block of Flagstaff Ln,1,0,N/A
1984361,4,2021,Tennessee,Nashville,3800 Clarksville Pike,1,0,N/A
1984097,4,2021,Texas,Fort Worth,6200 block of Salem Trl,1,0,N/A
