Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
2023222,6,2021,Alabama,Helena,4730 Hwy 17,0,1,N/A
2023013,6,2021,New York,Troy,N/A,0,1,N/A
2021772,6,2021,Texas,San Antonio,10362 Sahara Dr,0,1,N/A
2022441,6,2021,Michigan,Highland,2000 block of N Milford Rd,0,1,N/A
2023091,6,2021,Mississippi,Canton,117 S Hargon St,0,1,N/A
2022311,6,2021,Pennsylvania,Philadelphia,1200 block of Chelton Ave,1,1,N/A
2021954,6,2021,Louisiana,Baton Rouge,2959 College Dr,0,1,N/A
2022117,5,2021,Kansas,Wichita,8800 block of E Harry St,0,2,N/A
2021371,5,2021,Florida,Fort Pierce,3302 Atlantic Beach Blvd,0,1,N/A
2021359,5,2021,Tennessee,Memphis,2700 block of Pueblo Ave,0,1,N/A
2023450,5,2021,Idaho,Rathdrum,16298 Trails End Rd,0,1,N/A
2022252,5,2021,Ohio,Sandusky,Carr St,0,1,N/A
2022129,5,2021,Ohio,Cleveland (Garfield Heights),13000 block of Alvin Ave,1,5,N/A
2022170,5,2021,California,Long Beach,1000 block of Hoffman Ave,0,1,N/A
2022030,5,2021,Tennessee,Jackson,Dr F E Wright Dr and Whitehall St,0,1,N/A
2021981,5,2021,Illinois,Rockford,100 block of W State St,0,1,N/A
2020759,5,2021,Texas,Dallas,9759 Forest Ln,0,1,N/A
2022444,5,2021,Florida,Arcadia,N/A,0,1,N/A
2021279,5,2021,Pennsylvania,East Petersburg,2000 block of Lawnwood Ct,0,1,N/A
2019315,5,2021,North Carolina,Reidsville,300 block of North West Market St,0,1,N/A
2021816,5,2021,Texas,Houston,700 Dunham Rd,0,1,N/A
2019331,5,2021,Oklahoma,Tulsa,2186 S 99th E Ave,0,1,N/A
2019351,5,2021,Virginia,Richmond,1200 block of St John St,0,1,N/A
2018568,5,2021,Indiana,Mishawaka,4914 N Main St,0,1,N/A
2019235,5,2021,North Carolina,Durham,Berwyn Ave,0,1,N/A
2018436,5,2021,Missouri,Saint Louis,1200 block of Josephine Baker Ave,0,3,N/A
2019032,5,2021,Texas,Dallas,300 block of Buttercup Ln,0,1,N/A
2022564,5,2021,Arizona,Graham (county),N/A,0,1,N/A
2017580,5,2021,Texas,Fort Worth,3700 block of Seven Gables St,0,2,N/A
2017845,5,2021,Florida,Miami,3500 NW 37th Ave,0,3,N/A
2018869,5,2021,Nebraska,Grand Island,400 block of W 13th St,0,1,N/A
2018639,5,2021,Tennessee,Memphis,Yale Ave,0,3,N/A
2017037,5,2021,New Mexico,Albuquerque,Dennis Chavez Blvd and Coors Blvd SW,0,1,N/A
2017034,5,2021,Texas,Houston,600 E Anderson Rd,0,1,N/A
2016670,5,2021,California,Oxnard,1200 block of S N St,0,1,N/A
2015638,5,2021,Mississippi,Jackson,4125 Sunset Dr,0,1,N/A
